text,or_city,dst_city,str_date,end_date,budget
"Hi there, I'm on a tight budget to go somewhere. Can you help me find something that works?",,,,,tight
ok bud I'm sure you've never dealt with this kinda thing in ur line of work but I've got a bit of a bad rap here on the streets of Burlington so I've gotta lay low for a little while... I've got 1700 dollars to burn.  can ya get me to Long Beach by the first of next month,Burlington,Long Beach,first of next month,,1700
"Hello, you can get my friend and me to Mexico City. From Puebla - this shouldn’t be difficult",Puebla,Mexico City,,,
"yooooo i'm live in pittsburgh, gotta get away for a few days. u got anything for me leaving this sat coming back mon?",pittsburgh,,sat,mon,
I need to get to North Vancouver to shoot my movie. Coming from Birmingham,Birmingham,North Vancouver,,,
"Hey, i want to go to rome from kochi. Can you find me some packages between september 2nd and 6th for 4300",kochi,rome,2nd,6th,4300
I need to get to Fortaleza from Paris. We will be 2 adults and 7 children,Paris,Fortaleza,,,
get me from mexicoh city to birmingham,mexicoh city,birmingham,,,
I want to go on a vacation from Munich.,Munich,,,,
"Hi I am planning on booking a vacation soon, around August 27th",,,August 27th,,
hi. i have a 6 days vacation. starting friday sept 2 2016. and id like to go to paris,,paris,friday sept 2 2016,,
I have a movie shoot to go to in Salvador. Get me there from Belem,Belem,Salvador,,,
Guess what? I'm a recently married person looking for a honeymoon package from osaka to manaus!,osaka,manaus,,,
"Bonjour! I make ze pastry for a living. I need to travel to Ulsan, a buddy of a buddy of an aunt's 3rd husband has ze most extrodinary recipe that I must get.",,Ulsan,,,
"I wanna go to Cairo
No I dont
I live there actually
I wanna go to Cleveland",Cairo,Cleveland,,,
i need to know how much it costs to go from ciudad juarez to la paz leaving august 22 to september 8,ciudad juarez,la paz,august 22,september 8,
Hi! I'm looking to book a trip from Termina to Atlantis with my family. This includes 1 adult and 3 kids. My budget is at most $3300.,Termina,Atlantis,,,$3300
"I know this is an uncommon trip but I gotta take my 2 children to a great and venerable hospital in Sacramento. I got 5400 to spend, can you please please help me. Leaving from Brasilia",Brasilia,Sacramento,,,5400
"Hi there, I need to go from Minneapolis to my internship but I don’t have much money to spare. Could I do Detoit for less than 1400?",Minneapolis,Detoit,,,1400
"Good day, please book me a trip from Vancouver, Jamaica to Recife. I would like to leave for 17 days on August 24.","Vancouver, Jamaica",Recife,August 24,,
Hi im looking to make a quick trip im from tampa and want to go to Dallas,tampa,Dallas,,,
"Hello there, please check to see if there is a flight leaving from Toronto to Osaka on Sept 1 and returning on September 9.",Toronto,Osaka,Sept 1,September 9,
san jose to guadalajara,san jose,guadalajara,,,
I need to fly to Fukuoka from Hiroshima,Hiroshima,Fukuoka,,,
"Hi, I need to go to Mos Eisley for a wedding, leaving on Saturday, August 13, 2016 and returning on Tuesday, August 16, 2016. Preferably for $3700.",,Mos Eisley,"Saturday, August 13, 2016","Tuesday, August 16, 2016",$3700
Hey! I need to get out of Jerusalem by Sep 2 for a while. Any options for Queenstown?,Jerusalem,Queenstown,Sep 2,,
"Hello :slightly_smiling_face: Can you believe it? My psychotic boss finally gave me a few days off! I feel like a thousand pounds have been lifted off my shoulders, and I can't wait to book the perfect trip!
I live in San Diego, but thinking of going to Busan",San Diego,Busan,,,
I want to leave from Santa Cruz and go to Rome,Santa Cruz,Rome,,,
Can you get 4 strapping men out of Sacramento between the dates of August 31 to September 20,Sacramento,,August 31,September 20,
I'd like to find a vacation between tomorrow and September 14th from Santos to Leon,Santos,Leon,tomorrow,September 14th,
Hi there! I need to get out of town on Tuesday September 6!,,,Tuesday September 6,,
"Ok I'm turning 20 soon Daddy promised that I would get to take me and 7 friends wherever I wanted. Get me from Sydney to Miami
Mind you we only fly business class
And stay at the best hotels",Sydney,Miami,,,
"Hello! I'm booking for a honeymoon right after our wedding in Monterrey.
We can leave any day after September 6.",Monterrey,,after September 6,,
Get me a trip to Curitiba next Tuesday,,Curitiba,next Tuesday,,
"Hello, I am looking to book a trip for 2 adults and 6 children for $21,300 or less. We are departing from Kochi for Denver.",Kochi,Denver,,,"$21,300"
hi. how much does it cost for 4 people from Kabul to go to Tampa?,Kabul,Tampa,,,
I need you to book me a trip to San Antonio please,,San Antonio,,,
PORTLAND TO ATHENS SEPT 11 TO 15 I WANT THESE EXACT DATES PLEASE,PORTLAND,ATHENS,SEPT 11,15,
"from 22nd-28nd of september i just wanna flee town and forget about work, family, my mortgage, responsibilities, my alcoholism, etc.. i am thinking Ciudad Juarez
from Dalle",Dalle,Ciudad Juarez,22nd,28nd of september,
"Hi there, I NEED to go to Miami!",,Miami,,,
I want to go to Tijuana.,,Tijuana,,,
"I have clients to meet with in Rome, I need to travel there some time soon - anytime, any price.",,Rome,,,
i need to get to toronto.. there is apparently someone of interest to me there,,toronto,,,
Please get me back to Manaus asap!!,,Manaus,,,
Good afternoon. My husband and I would like to travel with our 6 kids. We have time off between August 15th and 19th. What can you offer for us?,,,August 15th,19th,
"GET ME A FLIGHT FROM DENVER TO MILAN. LEAVE THIS FRIDAY
GET ME THE BEST HOTEL MONEY CAN BUY",DENVER,MILAN,FRIDAY,,
"Hi! I'm looking for a trip to Milan with two of my best friends for march break, what's available?",,Milan,,,
"Hello. I haven’t left Kingston Ontario in years, and I have 4900 left.
I don’t think I could even take a trip to Kobe for that price.. but would you let me know? I wish I could just go to Kobe but I have no vacation days left because I had to take them all to care for my sick dog",Kingston Ontario,Kobe,,,4900
I need a booking for 6 adults from Milan to Punta Cana,Milan,Punta Cana,,,
get me to Manaus from Toronto,Toronto,Manaus,,,
"hi there. need to book a trip to denver
i live in houston
sept 10 to 11",houston,denver,sept 10,11,
Hello! I live in Pueblla and i must go for a internship to 1 of 3 places. I need to shop around a little as i have very little money. can you aid me with this task,Pueblla,,,,little
"get me and my 7 bros out of houston ok? 10300 to spend
what can we find in puebla",houston,puebla,,,10300
I would like to book a trip to Belo Horizonte,,Belo Horizonte,,,
"Hello, I would like to book a 2-week trip leaving from Melbourne on August 27. I would like to go to Mannheim.",Melbourne,Mannheim,August 27,,
Looking to go from San Francisco to MArseille. Book me for September 18 to 22. Let me know if its more than 2800 because thats all I can afford,San Francisco,MArseille,September 18,22,2800
Can you do flights for Kyoto for under 5000? This is for two people,,Kyoto,,,5000
Hey I think you can help me get from Stuttgart to Toronto right??,Stuttgart,Toronto,,,
Do you have packages leaving Friday September 16 from Denver?? I got 11 days,Denver,,September 16,,
I would like to go to Salvador from Detroit with 4 adults and 11 children total,Detroit,Salvador,,,
"Hi im from Houston and i want to go to San Antonio, but i have strict dates can you help?",Houston,San Antonio,,,
I need to find a nice travel package that is available between today and Friday Sept 16,,,today,Sept 16,
please get me from Jerusalem to Sydney,Jerusalem,Sydney,,,
"Hello, get me to Frankfurt. Leaving Punta Cana.",Punta Cana,Frankfurt,,,
I need to get to philadelphia from denver,denver,philadelphia,,,
I need a flight from Ulsan to Denver leaving on September 6,Ulsan,Denver,September 6,,
im leaving from belo horizonte. send me to dallas,belo horizonte,dallas,,,
Phoenix to Monterrey,Phoenix,Monterrey,,,
I've never done this before but I hope it works. I heard there's cheaper deals on travel if I do it on the computer.  I want to go to Cancun please.,,Cancun,,,
Hi! Can you take me to Hiroshima from Calgary?,Calgary,Hiroshima,,,
"Ok so I've been DYING to visit Goiania and I can finally take some time off. What do you have leaving from Berlin, preferably between August 25th and september 3rd?",Berlin,Goiania,August 25th,september 3rd,
I need to get to NAPLES,,NAPLES,,,
Do you have trips out of Tel Aviv?,Tel Aviv,,,,
"Hi, I'm trying to book a trip from Madrid.",Madrid,,,,
Hey I'm in santo domingo and i need to get to birmingham,santo domingo,birmingham,,,
"Get me to Milan like I said. I need a flight departing Aug 26 from Kingston
",Kingston,Milan,Aug 26,,
"Hello! I am located in Germany and I'm getting married next month, We would really like to go to Naples . can you find me a nice package please!",Germany,Naples,,,
"HEY-OH! I need to leave Indianapolis tomorrow after my wedding
two adults travelling, of course, and we want to go to Kingston for 9 days. What can you give me?",Indianapolis,Kingston,,,
im leaving kingston need to go to rosario,kingston,rosario,,,
"i want to leave Pittsburgh. for 9 days
and spend 0 dollars",Pittsburgh,,,,0 dollars
Beijing to Hiroshima please,Beijing,Hiroshima,,,
i am in santiago and need a trip under 4200 dollars,santiago,,,,4200
Hi i am looking to go to Punta Cana with my three friends,,Punta Cana,,,
Hey! You can help me by finding a trip to Philadelphia from Maceio.,Maceio,Philadelphia,,,
"I have business in Belem… business that requires me to be in close proximity to 5-star hotel type clients. I’m leaving from Vitoria, 3200 dollar
budget",Vitoria,Belem,,,3200
"Long Beach to Kingston, business only",Long Beach,Kingston,,,
Hi there! I'm stuck in Burlington and I need to go to Dublin.,Burlington,Dublin,,,
What hotels do you have in Vancouver?,,Vancouver,,,
I need to get to Burlington from Ulsan for 5800,Ulsan,Burlington,,,5800
"Good morning.  We are planning a family reunion and since we are spread out all over the world, we have decided on a couple of possibilities. Can you please give me information on packages available in Fukuoka? My husband and I would be leaving from Manaus and we will be travelling with our 4 children.",Manaus,Fukuoka,,,
I have $3300 and I’d like to take my 6 darling little grandchildren on a cute little getaway to Salvador from Minneapolis.,Minneapolis,Salvador,,,$3300
I'm looking to book a trip from Hamburg starting August 15th. I have a 14 day vacation. What packages can you recommend?,Hamburg,,August 15th,,
"Hi. I'm looking for an adventure from Thursday, August 18 to Saturday, September 3. I'm thinking of going to Fortaleza. Yes, with free breakfast of course. I'm leaving from Essen.",Essen,Fortaleza,"Thursday, August 18","Saturday, September 3",
Hi there! I have a couple interviews coming up. Do you have anything to Kyoto?,,Kyoto,,,
yes hi. dublin to osaka,dublin,osaka,,,
Hi! I'd really like to try and book a trip for me and 3 of my friends for spring break.  I have a budget of $2100.,,,,,$2100
two business class tickets from Birmingham to Montreal ASAP,Birmingham,Montreal,ASAP,,
"Listen up! im marrying my boo on saturday, and afterwards her and I want to have the best honeymoon 4600 can buy
get us to kyoto will ya?",,kyoto,,,4600
Hi there...this is my first time traveling and I'm so excited! I've lived in Boston all my life and want to see the world,Boston,,,,
I have 11 days for vacation this year! I only have $400 to spend tho. I leave from Santiago. What kind of packages are there?,Santiago,,,,$400
"hi there
im thinking of going to san juan soon. between aug 27 and sep 15",,san juan,aug 27,sep 15,
My lover and I just got married - like TODAY And we wanna fly off to Brazil for a week or so. Can you get us to Buenos Aires from Toronto for just under 5000 ?,Toronto,Buenos Aires,,,5000
yo. im from burlington. want to travel somewhere cool with my bro. between sept 8 and sept 18. you got flights to kingston?,burlington,kingston,sept 8,sept 18,
hey. id like to book a trip to philadelphia from vancouver. for 8,vancouver,philadelphia,,,
my assistant and I want to get to ciudad juarez over the next couple weeks to take care of a little chihuahua,,ciudad juarez,,,
"Hi there, I'd like to book a vacation to Queenstown please.",,Queenstown,,,
"I need to bring 6 clients out to impress them for a few days. 7 adults in total, and we're looking to leave Queenstown any time after September 20th. What've you got in Rome that sounds swanky.",Queenstown,Rome,September 20th,,
"Hi , looking for a business class package to Philadelphia, leaving Ciudad Juarez, after August 31st",Ciudad Juarez,Philadelphia,August 31st,,
"santiago to burlington, go!",santiago,burlington,,,
I would like to go on a trip with my wife and 2 kids. Our budget is 3700 and we'd like to go between august 27th and september 10th. I've been thinking about going to Curitiba from Paris,Paris,Curitiba,august 27th,september 10th,3700
I wouldn't define it amazing but YES I need do go back to Minneapolis!,,Minneapolis,,,
I’d like to go from Ulsan to Indianapolis soon but keep it under 5700 please,Ulsan,Indianapolis,,,5700
Hi im looking to book  trip. anything leaving from Kakariko Village?,Kakariko Village,,,,
Hi I am the happy father of one children.I need to book a trip to Santos from Philadelphia with a 1900 budget,Philadelphia,Santos,,,1900
I want to go somewhere from toronto. ideally between spt 9 and spt 24. we will be 1 adult and 4 children. we have 13700.,toronto,,spt 9,spt 24,13700
I just got an intership and I need to check out my possibilities Puebla to Minneapolis and I have a 4300 budget to travel between Septemeber second until september eighteenth,Puebla,Minneapolis,Septemeber second,september eighteenth,4300
"Hi, I'm leaving from Diagon Alley and going to Coruscant on a budget of $3400. The dates don't matter, but I cannot afford anything over my budget.",Diagon Alley,Coruscant,,,$3400
"Hey, I really need to get out of Tofino for a while. Any chance to leave on Aug 29?",Tofino,,Aug 29,,
I need to get to Fortaleza on September 8th or soon after!,,Fortaleza,September 8th,,
6 adults to Rosario from Toluca it needs to be impressive,Toluca,Rosario,,,
WOHOO ITS SPRING BREAK!!! im in tjiuana and i need to get out of here,tjiuana,,,,
I would like to go to Ulsan from San Juan with my wife and son. I need inspiration for my novel,San Juan,Ulsan,,,
Hi wozbot! My husband and I are recently married and madly in love. We're looking for a fantastic honeymoon vacation. We live in Mannheim and we'd like to go to Kyoto for 6 days leaving on August 19. What can you do for me?,Mannheim,Kyoto,August 19,,
"I heard Madonna was in Tel Aviv, can you get me there from Santos?",Santos,Tel Aviv,,,
"Hey man, I'm like the best Pokémon hunter in the WORLD and I'm only missing one and I need to get to Punta Cana cause rumour like has it he's at one of those places but you know rumours are only rumours so I'm not in a total hurry but I want to see how much it will cost me to get go there, can you give me some pricing",,Punta Cana,,,
"Hello, I'd like to go to Kyoto",,Kyoto,,,
valencia to munich. sept 8 to 26,valencia,munich,sept 8,26,
You got any flights from New York to Naples departing Aug 27 returning Sep 15?,New York,Naples,Aug 27,Sep 15,
Hi im travelling from Nagoya. i would like to go on vacation on August 26th,Nagoya,,August 26th,,
"You can help get myself, my lawyer Bruce, and my girls Tanya and Robin to Rome",,Rome,,,
"Hi, I need be at Athens for a few days between Aug 27 and Sep 12. Do you know how much it will be?",,Athens,Aug 27,Sep 12,
"I need to book a business trip for 4 potential large clients and I, Leaving from Philadelphia",Philadelphia,,,,
"i need a trip under the radar from mannheim to fukuoka
i need to be back here for august 30th",mannheim,fukuoka,,august 30th,
Hi I work for a big multinational corporation and they are sending me to San Diego. I'm presently working out of Tokyo.,Tokyo,San Diego,,,
Hi there. Could you please get me from Cleveland to Manaus?,Cleveland,Manaus,,,
Do you do flights from Santo Domingo to Frankfurt?,Santo Domingo,Frankfurt,,,
"I need to find a vacation between the 12 of september and 2nd of October for under 6500, leaving from Sydney.",Sydney,,12 of september,2nd of October,6500
I want to fly from Kabul to denver. 10 adults,Kabul,denver,,,
Hi! I need to get over to Rome,,Rome,,,
"Hi there, we're looking to go on a family vacation and we'll be leaving from Cancun. We don't have a destination in mind though and so I was helping you'd help us with that.",Cancun,,,,
"i need out of this tacky country :unamused:
maybe Kyoto? i just finished performing in san antonio and i want out of here",san antonio,Kyoto,,,
"Hi we live in Miami and are trying to plan our next vacay, can you help?",Miami,,,,
"Hey, I'd like to bring my family on a trip to Kobe.",,Kobe,,,
"I'm looking for a trip to Gotham City leaving from Kakariko Village on Saturday, August 13, 2016. 3 adults for no more than $2400 USD.",Kakariko Village,Gotham City,"Saturday, August 13, 2016",,$2400 USD
I am looking for a honeymoon package to Manaus. I heard it is the perfect honeymooners paradise. The wedding cost us an arm and a leg so I really need something reasonable.,,Manaus,,,
I need to go to San Jose between August 27 and September 5. Leaving from Goiania,Goiania,San Jose,August 27,September 5,
I want to go to brasilia from birmingham,birmingham,brasilia,,,
"I need to get a pic of Madonna and her pal, they are going to be in Kobe and I want to leave from Queenstown",Queenstown,Kobe,,,
Hiiii! I was just selected for an internship and I could do it in 3 different cities. Since I'm on a budget I'll go to the city that best fits in my budget. The first one is Porto Aleger. Do you have any packages from August 27th to September 5th?,,Porto Aleger,August 27th,September 5th,
"I'm planning a 5 day vacation, but I haven't given too much thoughts to it. Can you give me some suggestions fit for my budget? I hope to spend 4600 max.",,,,,4600
I need a 5 star hotel in Berlin,,Berlin,,,
Get me and a friend onto a flight to Porto!,,Porto,,,
I want to leave Kabul on or after Sept 6 please,Kabul,,Sept 6,,
Can I take my wife and son from Madrid to Santos for 4800??,Madrid,Santos,,,4800
I need to get out of Beijing ASAP!!!!!!!!!!!!!,Beijing,,,,
I'm looking to book a trip to Chicago from Brasilia. I booked work off from August 27th to September 10th and im looking for a 7 day trip,Brasilia,Chicago,August 27th,September 10th,
"Hi there, I'm looking to go to Stuttgart please.",,Stuttgart,,,
whats your best hotel in paris?,,paris,,,
"hi. paris to curitiba on september 24 please
i can spend 2300 dollars and must be home by 27th",paris,curitiba,september 24,27th,2300 dollars
"Hey man, imma leave from Godric's Hollow on August 27, 2016 and go to Goiania. Can't pay more than 4300USD. Watcha got?",Godric's Hollow,Goiania,"August 27, 2016",,4300USD
can you get me out of sapporo on friday? get me to rosario,sapporo,rosario,friday,,
I have 9 days for vacation. I'm from atlanta and i'd like to leave on or after september 8th,atlanta,,september 8th,,
"Hi there, I'd like to know if you can book a trip for us leaving this upcoming Saturday and returning on the Tuesday after. We are six adults and seven children leaving from Punta Cana. I know this is really short notice so I'd appreciate anything you can find for us, thank you so much!",Punta Cana,,Saturday,Tuesday,
sept 12 to 22. toluca to naples,toluca,naples,sept 12,22,
hi i need to get to mexico city,,mexico city,,,
I'm a polygamist and I'd like to travel with my 6 partners and 1 child to San Juan from Pittsburgh on a budget of 6600 USD,Pittsburgh,San Juan,,,6600 USD
HI I NEED TO GO ON VACATION I LIVE IN WASHINGTON WHERE CAN I GO,WASHINGTON,,,,
I am just DYING to get to Madrid and check out this hot new food truck that serves llama meat tacos. I’m on a limited budget though.. so if you could get me there sometime in the next month or so for like 1100 bucks it would be AMAZING. Let’s try leaving from Las Vegas maybe?,Las Vegas,Madrid,,,1100
"Hi Leaving from Cleveland! And i need to get to Mexico City, and it needs to be on Friday September 2nd",Cleveland,Mexico City,Friday September 2nd,,
"I need a trip from Queenstown to Manaus. for 2
Luxurious
but I need you to keep it low key as well
a private resort ideally",Queenstown,Manaus,,,
HI im from Punta Cana can you help me find a vacation,Punta Cana,,,,
 get me to puebla ,,puebla,,,
Hi there. I'd like to go to somewhere new. departing from Rome. after September 8,Rome,,September 8,,
"I'm so happy, my wife is finally letting me plan the family vacation! We saved all of our loonies and twonies this year and we have a whole $5000 to spend! Now, I have to impress her by getting the best possible information on all of our options. I think Belem would be a great place to take the kiddies!",,Belem,,,$5000
I've got 9 days to take off this month.. any time is good. I was looking to see where I can go from Barcelona.,,Barcelona,,,
Hi! I'd like to go to Boston from Mos Eisley on August 15th.,Mos Eisley,Boston,August 15th,,
I would like to go to Monterrey from Stuttgart,Stuttgart,Monterrey,,,
I want to go to san juan from Washington. with 4 friends,Washington,san juan,,,
do you have flights out of tel aviv??,tel aviv,,,,
were they going to punta cana? im in mexico city i need to get there,mexico city,punta cana,,,
I wanna see tokyo maybe. i wanna check out the city for a week starting august 24,,tokyo,august 24,,
"Please help! My lovely parents have been married fof 20 years and they've never taken a trip together. I'm thinking of getting them out of town Sept 6 to 9
you got anything good for 2 adults leaving sao paulo, for under 2400?",sao paulo,,Sept 6,9,under 2400
Hello. Here is what my perfect trip would be: A trip for one adult (me) and two children from St. Petersburg to Melbourne.,St. Petersburg,Melbourne,,,
"Hi. going to throw a bunch of options at you, try to keep up
Firstly want to know about trips from Seattle to Belo Horizonte",Seattle,Belo Horizonte,,,
I want to go to Curitiba.,,Curitiba,,,
ayoooo. spring break buddy. I wanna go somewhere nice and cold for spring break :smile: Toronto maybe?,,Toronto,,,
"I need to get from Sacramento to Osaka on Sept 1
or shortly thereafter",Sacramento,Osaka,Sept 1,,
"I need to book a business trip - something impressive... thinking… las vegas
3 adults find me the best you can out of mannheim after september 11th",mannheim,las vegas,september 11th,,
"Hello. I have been offered a prestigious, exclusive, international internship
They are very uncommon
Very rare and very impressive
Anyway
I'm looking to go to Milan from Belem",Belem,Milan,,,
Hey i think i want to go to KYOTO,,KYOTO,,,
I want to go to Denver from Rosario,Rosario,Denver,,,
"I'd like to book a trip to Atlantis from Caprica on Saturday, August 13, 2016 for 8 adults. I have a tight budget of 1700.",Caprica,Atlantis,"Saturday, August 13, 2016",,1700
"I need a trip to Marseille on these exact dates: September 9 to September 13
Flying from Manaus",Manaus,Marseille,September 9,September 13,
So I hear there are just AMAZING pork belly sliders at this little food boutique in Ulsan. I reallllly wanna check out the foodie scene there!,,Ulsan,,,
Book me a flight for 7 adults and 1 child from Portland to North Vancouver,Portland,North Vancouver,,,
"Is it normal that I feel this nervous that I'm about to get married today? I never liked the in-laws, and I can't wait to get away from them on my honeymoon
Oh right, thats what I need you for
Can you book me a honeymoon to Ulsan? 2 adults (duh), departing after today, and for 15 days
I'm in Essen",Essen,Ulsan,after today,,
"Look, I've got to get myself out of Santiago My friend and I would like to try and see Denver We want a 5 start hotel, too. Can you get us a trip that ends August 31st?",Santiago,Denver,,August 31st,
I need to get home on or after September 8th!,,,September 8th,,
Me and my terrific wife are actually getting married in Porto and wanna honeymoon in Montreal,Porto,Montreal,,,
kyoto to boston,kyoto,boston,,,
Hi I've got investors to meet with in Nagoya sometime in the near future. I can leave from anywhere,,Nagoya,,,
I wanna go to San Juan,,San Juan,,,
"Hi there… I need to get some overseas inspiration for my new novel… I’ve got a bit of writers block here in Ciudad Juarez, too much going on",Ciudad Juarez,,,,
Hey there :slightly_smiling_face: I’m bringing my wife (2 adults) and 4 kids (6 people in total) on vacation for 8900 dollars,,,,,8900 dollars
"Hi, I'm looking for a trip  from Thursday, August 18, 2016 to Thursday, September 8, 2016 to Mexico City",,Mexico City,"Thursday, August 18, 2016","Thursday, September 8, 2016",
"I'd like to book a trip for myself, from Tel Aviv to Tampa from, departing Aug 21, returning Aug 24. Do you have such a flight for me?",Tel Aviv,Tampa,Aug 21,Aug 24,
hi. im just trying to see what i can do with 3000,,,,,3000
